rep,category,count
1,A,63829.78723
1,A,0
1,A,33529.41176
1,A,197916.6667
1,A,220588.2353
1,B,97169.81132
1,B,2343.75
1,B,40384.61538
1,B,48780.4878
2,A,19270.83333
2,A,90625
2,A,71180.55556
2,B,130555.5556
2,B,19594.59459
2,B,36693.54839
2,B,125000
3,A,50000
3,A,0
3,A,78125
3,A,173728.8136
3,B,0
3,B,0
3,B,40873.01587
3,B,32978.7234
4,A,0
4,A,39754.09836
4,A,81060.60606
4,A,24404.7619
4,B,59090.90909
4,B,0
4,B,42424.24242
4,B,17083.33333
4,B,69642.85714
5,A,44270.83333
5,A,120967.7419
5,A,145833.3333
5,B,27083.33333
5,B,83783.78378
5,B,42361.11111
5,B,47058.82353
5,B,46276.59574
6,A,67948.71795
6,A,75595.2381
6,A,79166.66667
6,B,9693.877551
6,B,45175.4386
6,B,7558.139535
7,A,70833.33333
7,A,86979.16667
7,A,70762.71186
7,A,20000
7,B,0
7,B,26612.90323
7,B,0
7,B,0
7,B,88750
8,A,0
8,A,46710.52632
8,B,36734.69388
8,B,38095.2381
9,A,26973.68421
9,A,1923.076923
9,A,141666.6667
9,B,56428.57143
9,B,29069.76744
9,B,50000
9,B,5000
10,A,17741.93548
10,A,27717.3913
10,B,45714.28571
10,B,82738.09524
10,B,6896.551724
10,B,167553.1915
10,B,3125
11,A,93181.81818
11,A,10937.5
11,A,38333.33333
11,A,147887.3239
11,B,41860.46512
11,B,9558.823529
11,B,91250
12,A,143137.2549
12,A,36458.33333
12,A,152941.1765
12,A,83522.72727
12,A,29850.74627
12,B,3333.333333
12,B,0
12,B,0
12,B,14855.07246
12,B,152777.7778
13,A,78846.15385
13,A,117307.6923
13,B,28365.38462
13,B,0
13,B,8333.333333
13,B,42672.41379
13,B,1829.268293
14,A,9328.358209
14,A,0
14,A,86805.55556
14,B,0
14,B,45833.33333
14,B,129629.6296
14,B,0
14,B,32258.06452
14,B,20454.54545
15,A,28787.87879
15,A,77500
15,A,1744.186047
15,A,45535.71429
15,A,41509.43396
15,B,0
15,B,10820.89552
15,B,0
15,B,26923.07692
16,A,75520.83333
16,A,97701.14943
16,B,11805.55556
16,B,117934.7826
16,B,0
16,B,7758.62069
16,B,73469.38776
17,A,58620.68966
17,A,65686.27451
17,B,97619.04762
17,B,862.0689655
17,B,71052.63158
18,A,1639.344262
18,A,0
18,A,294921.875
18,B,21710.52632
18,B,15625
18,B,9375
